response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.3429,0.0000,0.0000,0.0000,0.3402,0.0025,200,1.6118
0.3464,0.0000,0.0000,0.0001,0.3442,0.0021,200,1.6145
0.3471,0.0000,0.0000,0.0000,0.3440,0.0031,200,1.6213
0.3501,0.0000,0.0000,0.0000,0.3472,0.0028,200,1.6253
0.3504,0.0000,0.0000,0.0000,0.3485,0.0018,200,1.6307
0.3342,0.0000,0.0000,0.0001,0.3320,0.0021,200,1.6543
0.3584,0.0000,0.0000,0.0000,0.3559,0.0024,200,1.6364
0.3588,0.0000,0.0000,0.0000,0.3553,0.0033,200,1.6426
0.3577,0.0000,0.0000,0.0000,0.3554,0.0022,200,1.6505
0.3447,0.0000,0.0000,0.0000,0.3420,0.0027,200,1.6706
0.3441,0.0000,0.0000,0.0000,0.3420,0.0021,200,1.6775
0.3678,0.0000,0.0000,0.0000,0.3653,0.0024,200,1.6606
0.3639,0.0000,0.0000,0.0000,0.3617,0.0021,200,1.6713
0.3418,0.0000,0.0000,0.0000,0.3385,0.0032,200,1.6999
0.3649,0.0000,0.0000,0.0000,0.3626,0.0022,200,1.6838
0.3436,0.0000,0.0000,0.0000,0.3410,0.0026,200,1.7120
0.3656,0.0000,0.0000,0.0000,0.3630,0.0025,200,1.7005
0.3447,0.0000,0.0000,0.0000,0.3384,0.0063,200,1.7239
0.3398,0.0000,0.0000,0.0000,0.3377,0.0021,200,1.7354
0.3360,0.0000,0.0000,0.0000,0.3336,0.0023,200,1.7459
0.3367,0.0000,0.0000,0.0000,0.3333,0.0034,200,1.7524
0.3360,0.0000,0.0000,0.0000,0.3326,0.0033,200,1.7594
0.3362,0.0000,0.0000,0.0000,0.3345,0.0016,200,1.7661
0.3391,0.0000,0.0000,0.0000,0.3328,0.0061,200,1.7730
0.3361,0.0000,0.0000,0.0001,0.3342,0.0017,200,1.7795
0.3366,0.0000,0.0000,0.0000,0.3332,0.0031,200,1.7859
0.3367,0.0000,0.0000,0.0000,0.3342,0.0024,200,1.7928
